v,t,y,x
1,347217550,-74.26,40.896
1,347217550,-74.26,40.898
1,347217550,-74.258,40.898
1,347217550,-74.258,40.896
1,347217850,-74.258,40.896
1,347217850,-74.258,40.898
1,347217850,-74.26,40.898
1,347217850,-74.26,40.896
1,347217850,-74.26,40.902
1,347217850,-74.26,40.9
1,347217850,-74.258,40.9
1,347217850,-74.258,40.902
1,347217550,-74.258,40.902
1,347217550,-74.258,40.9
1,347217550,-74.26,40.902
1,347217550,-74.258,40.91
1,347217550,-74.26,40.91
1,347217850,-74.26,40.91
1,347217850,-74.258,40.91
1,347217850,-74.258,40.908
1,347217850,-74.26,40.908
1,347217550,-74.26,40.908
1,347217550,-74.258,40.908
1,347217550,-74.258,40.906
1,347217550,-74.26,40.906
1,347217850,-74.26,40.906
1,347217850,-74.258,40.906
1,347217850,-74.258,40.904
1,347217850,-74.26,40.904
1,347217550,-74.258,40.904
1,347217550,-74.256,40.904
1,347217850,-74.254,40.904
1,347217850,-74.256,40.904
1,347217850,-74.254,40.906
1,347217550,-74.254,40.906
1,347217550,-74.256,40.906
1,347217550,-74.256,40.908
1,347217550,-74.254,40.908
1,347217850,-74.254,40.908
1,347217850,-74.256,40.908
1,347217850,-74.256,40.91
1,347217850,-74.254,40.91
1,347217550,-74.254,40.91
1,347217550,-74.256,40.91
1,347217550,-74.252,40.91
1,347217850,-74.252,40.91
1,347217850,-74.25,40.91
1,347217850,-74.25,40.908
1,347217850,-74.252,40.908
1,347217550,-74.252,40.908
1,347217550,-74.25,40.908
1,347217550,-74.252,40.906
1,347217850,-74.252,40.906
1,347217850,-74.25,40.906
1,347217850,-74.25,40.904
1,347217850,-74.252,40.904
1,347217550,-74.252,40.904
1,347217550,-74.25,40.904
1,347217550,-74.256,40.9
1,347217550,-74.256,40.902
1,347217550,-74.254,40.9
1,347217850,-74.254,40.9
1,347217850,-74.254,40.902
1,347217850,-74.256,40.902
1,347217850,-74.256,40.9
1,347217850,-74.256,40.898
1,347217550,-74.256,40.898
1,347217850,-74.256,40.896
1,347217850,-74.254,40.896
1,347217550,-74.254,40.898
1,347217850,-74.254,40.898
1,347217850,-74.252,40.898
